iter	Passed	Remaining
400	26538	39642
401	26595	39561
402	26658	39490
403	26725	39426
404	26790	39359
405	26846	39278
406	26920	39223
407	26987	39157
408	27051	39088
409	27111	39013
410	27177	38947
411	27236	38871
412	27306	38811
413	27369	38740
414	27435	38674
415	27504	38611
416	27569	38544
417	27642	38487
418	27701	38411
419	27766	38344
420	27829	38273
421	27898	38212
422	27974	38159
423	28042	38094
424	28101	38019
425	28169	37956
426	28232	37885
427	28310	37835
428	28377	37770
429	28446	37708
430	28509	37638
431	28562	37554
432	28628	37488
433	28708	37440
434	28777	37377
435	28833	37298
436	28897	37229
437	28957	37155
438	29024	37089
439	29084	37017
440	29150	36950
441	29219	36888
442	29281	36816
443	29343	36746
444	29402	36670
445	29466	36601
446	29531	36534
447	29591	36460
448	29663	36402
449	29714	36318
450	29775	36245
451	29848	36188
452	29913	36121
453	29987	36064
454	30055	36000
455	30132	35947
456	30196	35879
457	30257	35806
458	30328	35746
459	30409	35698
460	30494	35654
461	30556	35583
462	30624	35518
463	30688	35451
464	30747	35375
465	30807	35302
466	30874	35238
467	30945	35177
468	31010	35110
469	31079	35047
470	31138	34973
471	31199	34901
472	31276	34846
473	31339	34777
474	31406	34712
475	31474	34648
476	31543	34585
477	31621	34531
478	31690	34469
479	31765	34412
480	31851	34368
481	31920	34304
482	31975	34226
483	32042	34160
484	32100	34085
485	32175	34029
486	32235	33956
487	32294	33882
488	32351	33806
489	32428	33751
490	32491	33682
491	32559	33618
492	32634	33561
493	32698	33493
494	32768	33430
495	32834	33364
496	32895	33292
497	32967	33232
498	33028	33160
499	33088	33088
500	33144	33011
501	33213	32948
502	33272	32875
503	33340	32811
504	33403	32741
505	33472	32678
506	33539	32613
507	33609	32551
508	33670	32479
509	33718	32395
510	33785	32330
511	33843	32257
512	33910	32191
513	33972	32121
514	34020	32039
515	34082	31969
516	34140	31895
517	34203	31826
518	34273	31763
519	34341	31699
520	34407	31634
521	34466	31561
522	34518	31482
523	34579	31412
524	34643	31344
525	34707	31276
526	34769	31207
527	34833	31138
528	34899	31073
529	34954	30997
530	35014	30926
531	35079	30859
532	35138	30787
533	35199	30717
534	35261	30648
535	35322	30577
536	35388	30511
537	35453	30444
538	35515	30375
539	35579	30308
540	35645	30242
541	35713	30178
542	35785	30117
543	35856	30056
544	35931	29998
545	36001	29935
546	36074	29875
547	36138	29807
548	36217	29752
549	36279	29682
550	36348	29619
551	36407	29547
552	36481	29488
553	36547	29422
554	36620	29362
555	36694	29302
556	36757	29234
557	36825	29170
558	36896	29107
559	36964	29043
560	37034	28980
561	37098	28913
562	37169	28851
563	37238	28787
564	37318	28731
565	37399	28677
566	37457	28605
567	37514	28532
568	37579	28465
569	37648	28401
570	37711	28333
571	37779	28268
572	37833	28193
573	37907	28133
574	37973	28067
575	38053	28011
576	38123	27948
577	38210	27897
578	38288	27840
579	38362	27779
580	38432	27716
581	38500	27651
582	38574	27590
583	38644	27527
584	38714	27464
585	38795	27408
586	38863	27343
587	38926	27274
588	38992	27208
589	39058	27142
590	39129	27079
591	39191	27010
592	39259	26945
593	39327	26880
594	39394	26814
595	39475	26758
596	39544	26694
597	39609	26627
598	39682	26565
599	39739	26493
600	39808	26428
601	39869	26359
602	39932	26290
603	39997	26223
604	40070	26161
605	40136	26095
606	40203	26029
607	40280	25970
608	40348	25905
609	40414	25838
610	40478	25770
611	40550	25708
612	40615	25641
613	40687	25578
614	40758	25515
615	40930	25514
616	41002	25451
617	41067	25384
618	41144	25325
619	41205	25254
620	41285	25196
621	41355	25132
622	41428	25070
623	41504	25009
624	41587	24952
625	41668	24894
626	41742	24832
627	41809	24766
628	41888	24707
629	41951	24638
630	42012	24568
631	42073	24498
632	42141	24432
633	42218	24372
634	42286	24306
635	42348	24237
636	42415	24170
637	42494	24111
638	42574	24052
639	42646	23988
640	42715	23923
641	42787	23859
642	42849	23790
643	42925	23728
644	42992	23662
645	43072	23603
646	43131	23532
647	43193	23462
648	43263	23398
649	43327	23330
650	43404	23268
651	43467	23200
652	43529	23131
653	43604	23069
654	43680	23007
655	43742	22938
656	43820	22877
657	43894	22814
658	43956	22745
659	44018	22676
660	44098	22616
661	44168	22551
662	44246	22490
663	44314	22424
664	44393	22363
665	44469	22301
666	44545	22239
667	44619	22176
668	44700	22116
669	44771	22051
670	44837	21984
671	44905	21918
672	44985	21857
673	45063	21796
674	45125	21727
675	45195	21661
676	45260	21593
677	45324	21525
678	45400	21463
679	45466	21396
680	45535	21330
681	45601	21262
682	45655	21189
683	45723	21123
684	45790	21056
685	45863	20992
686	45920	20921
687	45980	20851
688	46046	20784
689	46119	20720
690	46200	20660
691	46270	20594
692	46333	20526
693	46398	20457
694	46458	20388
695	46517	20318
696	46586	20252
697	46662	20189
698	46726	20121
699	46794	20054
700	46865	19989
701	46935	19924
702	47006	19859
703	47069	19790
704	47135	19723
705	47206	19658
706	47279	19593
707	47343	19525
708	47408	19458
709	47475	19391
710	47532	19320
711	47600	19254
712	47672	19189
713	47744	19124
714	47804	19054
715	47872	18988
716	47941	18922
717	48023	18861
718	48084	18792
719	48125	18715
720	48195	18649
721	48267	18585
722	48326	18515
723	48388	18446
724	48455	18379
725	48511	18308
726	48582	18243
727	48649	18176
728	48706	18106
729	48772	18039
730	48842	17973
731	48899	17903
732	48955	17832
733	49015	17763
734	49083	17696
735	49137	17625
736	49216	17562
737	49285	17496
738	49363	17434
739	49437	17369
740	49496	17300
741	49562	17233
742	49620	17163
743	49684	17095
744	49766	17034
745	49835	16968
746	49907	16903
747	49981	16838
748	50044	16770
749	50107	16702
750	50176	16636
751	50247	16571
752	50301	16500
753	50363	16431
754	50427	16363
755	50500	16299
756	50569	16233
757	50633	16165
758	50694	16096
759	50760	16029
760	50820	15960
761	50884	15892
762	50945	15824
763	51021	15760
764	51099	15697
765	51177	15633
766	51260	15571
767	51333	15506
768	51402	15440
769	51478	15376
770	51552	15312
771	51619	15245
772	51686	15178
773	51751	15110
774	51819	15044
775	51884	14976
776	51938	14906
777	51998	14837
778	52065	14770
779	52126	14702
780	52196	14636
781	52266	14570
782	52338	14504
783	52397	14435
784	52478	14373
785	52559	14309
786	52638	14246
787	52700	14178
788	52790	14117
789	52862	14051
790	52934	13986
791	53002	13919
792	53058	13850
793	53141	13787
794	53208	13720
795	53274	13653
796	53330	13583
797	53404	13518
798	53462	13449
799	53527	13381
800	53582	13312
801	53661	13248
802	53720	13179
803	53793	13113
804	53859	13046
805	53929	12980
806	53988	12911
807	54063	12846
808	54122	12778
809	54179	12708
810	54241	12640
811	54303	12572
812	54387	12509
813	54464	12445
814	54537	12379
815	54624	12317
816	54692	12250
817	54750	12181
818	54839	12119
819	54906	12052
820	54978	11986
821	55044	11919
822	55114	11853
823	55189	11787
824	55255	11720
825	55353	11660
826	55431	11595
827	55522	11533
828	55599	11468
829	55681	11404
830	55742	11336
831	55813	11270
832	55880	11202
833	55946	11135
834	56012	11068
835	56081	11001
836	56144	10933
837	56214	10867
838	56279	10799
839	56344	10732
840	56409	10664
841	56474	10597
842	56537	10529
843	56609	10463
844	56676	10396
845	56739	10328
846	56807	10261
847	56882	10195
848	56947	10128
849	57018	10062
850	57082	9994
851	57148	9927
852	57226	9861
853	57293	9794
854	57357	9727
855	57421	9659
856	57496	9593
857	57558	9525
858	57628	9459
859	57693	9392
860	57764	9325
861	57822	9257
862	57890	9189
863	57955	9122
864	58019	9055
865	58086	8988
866	58163	8922
867	58234	8855
868	58299	8788
869	58366	8721
870	58432	8654
871	58505	8587
872	58576	8521
873	58634	8452
874	58697	8385
875	58760	8317
876	58817	8249
877	58883	8181
878	58956	8115
879	59043	8051
880	59109	7984
881	59169	7916
882	59231	7848
883	59294	7780
884	59370	7714
885	59429	7646
886	59494	7579
887	59563	7512
888	59622	7444
889	59692	7377
890	59750	7309
891	59823	7243
892	59881	7175
893	59943	7107
894	60009	7040
895	60083	6973
896	60145	6906
897	60215	6839
898	60283	6772
899	60347	6705
900	60406	6637
901	60473	6570
902	60543	6503
903	60612	6436
904	60672	6368
905	60738	6301
906	60801	6234
907	60865	6167
908	60934	6100
909	60998	6032
910	61052	5964
911	61115	5897
912	61172	5829
913	61235	5761
914	61307	5695
915	61367	5627
916	61429	5560
917	61514	5494
918	61590	5428
919	61665	5362
920	61731	5295
921	61801	5228
922	61881	5162
923	61949	5095
924	62016	5028
925	62084	4961
926	62140	4893
927	62209	4826
928	62266	4758
929	62329	4691
930	62400	4624
931	62461	4557
932	62531	4490
933	62603	4423
934	62664	4356
935	62728	4289
936	62790	4221
937	62850	4154
938	62909	4086
939	62967	4019
940	63034	3952
941	63103	3885
942	63159	3817
943	63227	3750
944	63299	3684
945	63368	3617
946	63445	3550
947	63523	3484
948	63589	3417
949	63652	3350
950	63712	3282
951	63788	3216
952	63859	3149
953	63925	3082
954	63992	3015
955	64066	2948
956	64142	2882
957	64215	2815
958	64275	2747
959	64345	2681
960	64404	2613
961	64467	2546
962	64537	2479
963	64604	2412
964	64667	2345
965	64728	2278
966	64788	2210
967	64858	2144
968	64925	2077
969	64996	2010
970	65072	1943
971	65133	1876
972	65215	1809
973	65305	1743
974	65374	1676
975	65444	1609
976	65505	1542
977	65577	1475
978	65641	1408
979	65713	1341
980	65792	1274
981	65836	1206
982	65897	1139
983	65962	1072
984	66028	1005
985	66089	938
986	66164	871
987	66233	804
988	66298	737
989	66363	670
990	66425	603
991	66487	536
992	66544	469
993	66606	402
994	66667	335
995	66723	267
996	66789	200
997	66868	134
998	66928	66
999	66999	0
