iter	Logloss
0	0.6157438811
1	0.5508252996
2	0.4954154401
3	0.4478542309
4	0.4088776702
5	0.3767971258
6	0.349539266
7	0.3274953056
8	0.3077622669
9	0.2902325679
10	0.2754528805
11	0.2629604217
12	0.2532096982
13	0.2445838806
14	0.2371459603
15	0.2297385305
16	0.2244078705
17	0.219493044
18	0.2148496802
19	0.2106511156
20	0.2071382467
21	0.2041896386
22	0.1994199623
23	0.1944859205
24	0.1907481219
25	0.1873646625
26	0.184598614
27	0.1820500066
28	0.1797433591
29	0.177897077
30	0.1756762625
31	0.1742544688
32	0.1730191761
33	0.1714350375
34	0.170372404
35	0.1693185728
36	0.1684632517
37	0.1673934284
38	0.1665518917
39	0.16573684
40	0.1650872119
41	0.1643746493
42	0.1635900144
43	0.1629429211
44	0.1621318723
45	0.1614475666
46	0.1608708293
47	0.1603488778
48	0.1598485243
49	0.1593773481
50	0.1589048301
51	0.1585294
52	0.1580023366
53	0.1576044848
54	0.1573648633
55	0.1566914123
56	0.1562915786
57	0.1560603446
58	0.1556460892
59	0.1554064351
60	0.1551186225
61	0.1548802593
62	0.1546220273
63	0.1543423581
64	0.1539788984
65	0.1537533068
66	0.1534730102
67	0.1532529874
68	0.1530935626
69	0.1528546064
70	0.1526500679
71	0.1524395505
72	0.15221145
73	0.152041237
74	0.151891982
75	0.1516316626
76	0.1514615904
77	0.1513943876
78	0.1511926116
79	0.1510559556
80	0.1507609999
81	0.1505870926
82	0.1504791342
83	0.150274837
84	0.1501985651
85	0.1499912902
86	0.1498573016
87	0.1496112935
88	0.1493979948
89	0.1491998925
90	0.1490751003
91	0.148958818
92	0.1488534551
93	0.1487560286
94	0.148631203
95	0.1485227917
96	0.148370446
97	0.148228034
98	0.1481660816
99	0.1480797956
100	0.1479774503
101	0.1479010307
102	0.1478008506
103	0.1476822231
104	0.1476047657
105	0.1474861169
106	0.147382932
107	0.1472989592
108	0.1471873953
109	0.1470712884
110	0.1469387948
111	0.1468660423
112	0.1467795653
113	0.1467537751
114	0.1466443188
115	0.146503662
116	0.1463979302
117	0.1462622048
118	0.146136057
119	0.1460813398
120	0.1460227798
121	0.1459497327
122	0.1458300687
123	0.145763592
124	0.1456731054
125	0.1456292156
126	0.1454812426
127	0.14543339
128	0.1453885369
129	0.1453228869
130	0.1451945437
131	0.1450816504
132	0.1450086355
133	0.1449821441
134	0.1449150151
135	0.1448401969
136	0.1447980918
137	0.1447353214
138	0.1445761696
139	0.1444652991
140	0.1443615083
141	0.1443001356
142	0.1442152962
143	0.1441599296
144	0.1440623267
145	0.1440253289
146	0.1439811202
147	0.1439095368
148	0.1438686457
149	0.1438119263
150	0.1437373252
151	0.1436900774
152	0.1436410234
153	0.1436094052
154	0.1434694929
155	0.1434263877
156	0.1433797773
157	0.1433257304
158	0.1432231048
159	0.1431681804
160	0.1430968065
161	0.1429801264
162	0.142928662
163	0.1428950004
164	0.1428527879
165	0.1428031646
166	0.142768262
167	0.1427172499
168	0.1426382851
169	0.1426009823
170	0.1425653387
171	0.1424813364
172	0.1424348297
173	0.1423796726
174	0.1423066549
175	0.1422729178
176	0.1422066522
177	0.1421693587
178	0.1421415654
179	0.1420655597
180	0.1419928944
181	0.1419119738
182	0.1418674972
183	0.1418349607
184	0.1418019234
185	0.1417571704
186	0.1416919899
187	0.1416612408
188	0.141604133
189	0.1415328374
190	0.1414660622
191	0.1413846788
192	0.1413502303
193	0.1413018942
194	0.1412686184
195	0.1412154632
196	0.1411665402
197	0.1410608371
198	0.1409802662
199	0.140950707
200	0.1409033998
201	0.1408381869
202	0.1407820111
203	0.1407276351
204	0.1407055941
205	0.140657591
206	0.1406138276
207	0.1405720055
208	0.1405252405
209	0.1404877904
210	0.1404363197
211	0.1403859054
212	0.1403542937
213	0.140342198
214	0.1403155297
215	0.140281448
216	0.1402016331
217	0.1401494776
218	0.1400907278
219	0.1400357011
220	0.1399620388
221	0.1399228124
222	0.1398793515
223	0.1398024644
224	0.1397207964
225	0.1397093548
226	0.1396955567
227	0.1396534735
228	0.139609437
229	0.1395734413
230	0.1395238852
231	0.1395013352
232	0.1394408613
233	0.1393728635
234	0.1393379027
235	0.1393220974
236	0.1393115369
237	0.1392590731
238	0.1392184593
239	0.1391636809
240	0.1391209219
241	0.1390659139
242	0.13903507
243	0.1389960409
244	0.1389475649
245	0.1389027168
246	0.1388462231
247	0.1387807369
248	0.1387164579
249	0.1386672378
250	0.1386468467
251	0.1386176568
252	0.1385815998
253	0.1385587792
254	0.1385050786
255	0.1384520994
256	0.1384123905
257	0.1383932306
